,VP1,VP0
416,124137913.38838872,116736365.01503253
417,-33594704.79867833,-31591667.806441464
418,36983433.43384752,34778348.26605522
419,100124646.91196693,94154855.75585549
420,221024595.44454122,207846315.0124708
421,134376138.38227764,126364150.25299865
422,247312300.27320084,232566652.43819135
423,-18847567.45221721,-17723807.769055597
424,164979421.98779047,155142756.1447734
425,102254396.1945089,96157621.7348475
426,89385199.40500402,84055732.69173391
427,280933290.87827796,264183038.79681987
428,78793528.96749425,74095575.69728163
429,8365394.503734508,7866619.629954565
430,258309667.3770124,242908317.00619704
431,259870899.25382915,244376462.62964547
432,138671418.44203165,130403330.28439215
433,59319555.57513483,55782710.56065742
434,49897009.32255328,46921970.36703925
435,86438625.5181079,81284844.12581863
436,15907825.281756572,14959343.588098325
437,217830518.367268,204842680.28556722
438,80701957.57385126,75890216.93391821
439,15882739.356699228,14935753.376016445
440,80871930.42756535,76050055.39545038
441,467208383.67014724,439351741.3456307
442,-9764728.003488054,-9182519.839215472
443,41289105.88744857,38827301.059438944
444,9221658.474543666,8671830.066615157
445,211469420.71861884,198860854.13157266
446,29670122.293172777,27901083.00934627
447,-40684619.29326397,-38258856.127674624
448,109428359.31689416,102903847.40273826
449,120477428.35047169,113294131.24571322
450,113385634.33352853,106625175.46599784
451,67061774.62482579,63063310.695955
452,53334035.01258475,50154068.23759269
453,-9732977.746215941,-9152662.64634771
454,208529105.61610696,196095851.17883137
455,49638849.28023227,46679202.75390568
456,249487826.451979,234612465.93040818
457,325558146.4303092,306147200.14184433
458,332077792.37166554,312278121.36973524
459,58947964.32525848,55433274.916075245
460,76521740.28644761,71959239.2190137
461,82294128.03464042,77387456.47181284
462,282634528.6537409,265782842.66425285
463,37757316.87235902,35506089.99371356
464,215373662.6883942,202532311.16875318
465,385146233.1774989,362182431.0813552
466,88180281.81377867,82922656.61607729
467,292347041.36987823,274916260.4791378
468,166099492.75779048,156196044.2715063
469,151839660.09807163,142786434.06475118
470,63430459.67317027,59648507.787558004
471,24202639.373898335,22759591.064166076
472,52363547.74387566,49241444.9064109
473,1798671.1498923823,1691427.9140403618
474,182680369.62174758,171788309.6884732
475,272615904.9776978,256361565.32462418
476,30092719.33717331,28298483.299363825
477,276490277.59685874,260004933.92918235
478,40439252.93035356,38028119.38882269
479,192351454.98951194,180882770.2023268
480,75428747.70346169,70931414.78050415
481,114114975.13793902,107311030.35142389
482,68698642.78261466,64602582.893573545
483,64889444.837697715,61020503.015034765
484,151167448.21195322,142154301.86626765
485,109934442.59544799,103379756.17807288
486,320762848.36127174,301637814.97124267
487,73806652.6351394,69406034.84768449
488,249130582.95920897,234276522.57810795
489,167045261.48432487,157085422.86880153
490,40227846.63428302,37829317.8956209
491,34236599.971812434,32195290.883284472
492,14161509.266183304,13317149.207178222
493,291257432.1005182,273891617.6289409
494,120232731.77150765,113064024.35588251
495,233568385.14795154,219642198.9090184
496,108174362.34426057,101724618.23471527
497,178327033.51662076,167694535.12170383
498,91863813.24565478,86386562.6705515
499,209445134.3551244,196957262.9935091
500,115215246.04986565,108345699.15875462
501,-22756947.66983097,-21400096.693278756
502,2019237.1798195755,1898843.0048590687
503,82089015.96427244,77194573.91996463
504,690861729.5225216,649670071.2225864
505,199991793.67712215,188067564.44874567
506,290158262.9626304,272857984.90392256
507,103220042.75149655,97065692.97493139
508,-27676833.43782975,-26026641.19663666
509,24460315.22521733,23001903.35550468
510,31438857.614599813,29564359.97656167
511,7473090.370192661,7027517.874541087
512,29760461.305576794,27986035.68527935
513,389332328.84135014,366118936.6827849
514,244223404.64913797,229661927.86838344
515,268774425.58081776,252749128.7302625
516,42987834.107136734,40424744.99982824
517,136933003.85078523,128768566.2164939
518,263740292.23335597,248015148.49857435
519,130853501.5001658,123051545.63720295
520,157485830.60841566,148095959.6048694
521,255301413.88820118,240079426.39782262
522,41926153.21902563,39426365.34045486
523,126817295.52189596,119255992.75980751
524,31829606.846844252,29931811.33577629
525,-10386943.307996655,-9767636.431902211
526,28032898.32717644,26361476.218083862
527,299485212.9132737,281628828.59056276
528,180097818.60718417,169359739.6434557
529,306741504.53136545,288452474.03347313
530,-2621687.1162038785,-2465372.711678027
531,153868529.07601717,144694334.58532882
532,521871544.0171576,490755687.6902027
533,56095822.36085212,52751187.90217531
534,173080412.90551445,162760736.88041016
535,330722530.5639395,311003665.13989145
536,316332585.347289,297471700.15429056
537,63543976.707495615,59755256.52847624
538,272249151.2006399,256016678.72535193
539,42164063.93701467,39650090.966720745
540,79247201.43713439,74522198.58442077
541,201889359.57315692,189851990.64887473
542,400155838.7962795,376297110.0897229
543,230027054.36527258,216312014.990167
544,-25887206.064735375,-24343717.836930986
545,96152316.14563358,90419369.62078317
546,110326345.00792216,103748291.96076904
547,317420752.7790453,298494987.1344216
548,238103240.4067829,223906669.8054238
549,214192370.8689069,201421452.21144578
550,765867130.9753225,720203381.1768054
551,115139383.99162894,108274360.26897156
552,-31649868.3065929,-29762789.453022353
553,261214931.87369168,245640359.1961481
554,114659231.95750755,107822836.62411587
555,381916334.69038856,359145110.7457608
556,125538493.14677395,118053437.17650819
557,336086857.1098356,316048151.2652731
558,49477206.65694137,46527197.84453172
559,-12404165.988397116,-11664585.049034812
560,35543987.921643175,33424727.66663201
561,63162219.9557654,59396261.485781245
562,7011319.890410303,6593279.809717273
563,86456684.8574872,81301826.70250425
564,375633484.23940414,353236866.4103958
565,25873473.44138656,24330804.001921974
566,46891012.62166532,44095201.98878437
567,297846904.8703668,280088202.35894984
568,144690473.89225462,136063508.02464947
569,215019554.72697157,202199316.39615676
570,154147618.48390335,144956783.68006185
571,90903040.63896555,85483074.77833912
572,98312604.5631502,92450853.88180792
573,548649468.0895239,515937015.72716135
574,13018366.40627038,12242164.631421648
575,109995342.50951175,103437025.0204715
576,90620551.03909643,85217428.22328468
577,259958341.38714173,244458691.14882588
578,268675.23839516164,252655.8554409545
579,101050770.61162156,95025760.63335012
580,95305249.27079931,89622807.916194
581,75099573.38176723,70621867.01445885
582,50651636.305879705,47631603.77855127
583,91405345.97872373,85955430.8691617
584,142330060.9626756,133843831.39393762
585,39971259.69069877,37588029.587425895
586,-22067921.030692235,-20752152.29775854
587,198605562.89566094,186763985.72663978
588,7450101.046305035,7005899.256734951
589,49627690.58544366,46668709.38058902
590,97434369.81918755,91624982.64842133
591,167364388.12480363,157385522.03248245
592,139153156.13390428,130856345.04438731
593,172681560.47103512,162385665.46098942
594,2197297.8816546593,2066287.0879509102
595,77766381.86400108,73129670.7942214
596,163765610.74321395,154001316.68732968
597,50616241.39664651,47598319.240966104
598,25847242.69238251,24306137.22440998
599,204166233.7755915,191993109.43147525
600,120789345.77242911,113587451.03038083
601,110052253.87891528,103490543.12957174
602,134186540.85506856,126185857.21150875
603,478863335.93989956,450311783.48954713
604,41763499.137514964,39273409.27963396
605,47549152.99261911,44714101.66639066
606,71947555.9595516,67657784.19487505
607,-5363617.337639153,-5043819.202668879
608,278934118.8981179,262303064.6323305
609,108175259.62470439,101725462.01607546
610,189092224.3888634,177817866.6391817
611,101971561.23843765,95891650.41496843
612,190781426.16882083,179406352.14040163
613,385292160.42945826,362319657.6262954
614,267960418.91844144,251983656.06949264
615,279092837.8059666,262452320.14868066
616,48396380.85791388,45510814.76261068
617,101929646.00640061,95852234.31964986
618,14952925.413576925,14061378.28062722
619,299819132.94230175,281942839.107821
620,79277650.068383,74550831.75888476
621,-5639249.329522175,-5303017.024961955
622,67008010.75952181,63012752.42545219
623,422089820.9694957,396923309.4458761
624,134156757.52627113,126157849.67177363
625,58159214.4406168,54691553.133214116
626,235876892.6583007,221813064.90806997
627,274054385.24509317,257714278.23060164
628,100335204.20813225,94352858.86957651
629,67291126.54616992,63278987.831780225
630,268012561.68654054,252032689.89842987
631,91689024.53203799,86222195.48798545
632,72328219.92988986,68015751.61173059
633,62571661.82576931,58840914.55313121
