,VP1,VP0
142,106174391.41775571,99843892.75993246
143,90730523.08936946,85320843.34483549
144,133996177.9125579,126006844.39152735
145,115577632.26786071,108686478.6085262
146,91497185.7286568,86041794.8032608
147,101842258.67032303,95770057.33049645
148,139062879.50686592,130771451.03418027
149,152605930.41697142,143507016.5943399
150,118104757.61060558,111062927.65940093
151,99745990.67476872,93798776.3638772
152,125123295.71110414,117662995.3035889
153,117486388.74606425,110481428.1681119
154,116303334.1645431,109368911.55097601
155,170190340.75989592,160042981.21896967
156,56552982.93132962,53181090.91704855
157,139389580.47649205,131078672.9182933
158,115680687.15410721,108783388.99222031
159,131059282.91371186,123245057.62358429
160,164585439.95822358,154772264.73922682
161,132183972.34785298,124302689.03310923
162,152976571.33358252,143855558.56794026
163,90122095.78228194,84748692.6596289
164,125799756.80817343,118299123.35980074
165,123649213.41289192,116276803.08777551
166,131882399.40047221,124019096.94828051
167,127258604.36146411,119670989.18091705
168,158268232.98679838,148831712.34259874
169,129957740.08251886,122209192.73338334
170,140591207.9376226,132208655.03323147
171,123778214.57266536,116398112.73495446
172,113968240.47170386,107173044.53314777
173,124633693.82189928,117202585.23795931
174,163052558.04769868,153330778.75522998
175,122351776.60988168,115056724.12812461
176,138015061.91519862,129786108.09171152
177,105997941.3729038,99677963.30066802
178,170554179.50678098,160385126.5926405
179,118134150.63985114,111090568.17064564
180,112892740.8923114,106161670.10251217
181,111660567.82798119,105002963.62297507
182,163866250.12131315,154095955.5841502
183,159474566.89307705,149966120.28751695
184,115729910.28174616,108829677.2601507
185,109929832.47493662,103375420.9295087
186,146989602.11820963,138225553.96593845
187,102566772.01082557,96451372.58275585
188,154536538.39425677,145322514.78812858
189,128499328.30649352,120837736.70692623
190,71119196.1770566,66878814.198572904
191,92538043.61794746,87020593.005812
192,113348053.4457252,106589835.28573823
193,163428400.608353,153684212.2321683
194,133747855.48671842,125773327.84083812
195,115414312.8917157,108532896.9203272
196,117126699.30333182,110143184.70217337
